speech_recognition,start,end,max_confidence,mean_confidence
speech,3.25,4.3,0.7704368829727173,0.7393321394920349
speech,4.89,5.3,0.6185935139656067,0.6185934543609619
speech,7.25,9.610000000000001,0.9045181274414062,0.879953920841217
non-speech,11.25,11.610000000000001,0.6020615696907043,0.6020616888999939
non-speech,13.25,14.3,0.9397391676902771,0.888724148273468
non-speech,16.25,17.61,0.8477318286895752,0.7384902834892273
non-speech,19.25,19.61,0.7877870798110962,0.7877869606018066
non-speech,19.89,20.61,0.6345888376235962,0.6345887780189514
non-speech,21.25,22.3,0.854354977607727,0.7596839666366577
non-speech,23.25,23.61,0.7747808694839478,0.7747807502746582
speech,26.25,27.3,0.7472481727600098,0.74315345287323
non-speech,28.25,28.61,0.7080056667327881,0.7080057263374329
non-speech,29.25,29.61,0.6984415650367737,0.6984418034553528
