speech_recognition,start,end,max_confidence,mean_confidence,recognized_text
speech,2.25,4.3,1.0,1.0,hear a woman talking on the radio
speech,7.57,7.93,1.0,1.0,on it
speech,11.25,13.930000000000001,1.0,1.0,time to look at questions eleven to for
speech,31.25,32.3,1.0,1.0,questions ill
speech,36.25,37.93,1.0,1.0,welcome to our weekly program about
speech,38.25,38.93,1.0,1.0,that matters
speech,40.25,41.3,1.0,1.0,jackie lammert
speech,42.25,44.3,1.0,1.0,works for the nature organization
speech,47.25,51.3,1.0,1.0,for project she's organizing so if you think you might be willing to help
speech,56.25,57.3,1.0,1.0,you've just heard
speech,58.25,59.3,1.0,1.0,charity called
speech,61.25,62.3,1.0,1.0,next to protect
speech,65.25,65.92999999999999,1.0,1.0,that approach
speech,75.25,76.3,1.0,1.0,though my sister
speech,78.25,79.3,1.0,1.0,in this country but
speech,83.25,84.3,1.0,1.0,the of habitat
speech,90.25,90.92999999999999,1.0,1.0,as one of the
speech,93.25,93.92999999999999,1.0,1.0,actually
speech,94.25,95.3,1.0,1.0,help the creature to
speech,95.57,95.92999999999999,1.0,1.0,live
speech,100.25,100.92999999999999,1.0,1.0,project
speech,105.25,105.92999999999999,1.0,1.0,still to be
speech,111.25,112.3,1.0,1.0,it's about the creature
speech,113.25,114.3,1.0,1.0,i already know
speech,120.57,120.92999999999999,1.0,1.0,couple of
speech,131.25,132.93,1.0,1.0,don't house but your
speech,134.25,135.3,1.0,1.0,no real on
speech,140.25,140.93,1.0,1.0,two eight
speech,156.25,157.3,1.0,1.0,spring and summer
speech,165.25,166.3,1.0,1.0,the progress is
speech,171.25,172.3,1.0,1.0,the jews or
speech,173.25,173.93,1.0,1.0,the ages
speech,190.25,190.93,1.0,1.0,the to
speech,195.25,195.93,1.0,1.0,will be look
speech,198.25,199.3,1.0,1.0,get up not in
speech,207.25,208.3,1.0,1.0,the ball to tell which
speech,209.25,210.3,1.0,1.0,opened a not
speech,215.25,216.93,1.0,1.0,who would like to help us carrier
speech,219.57,219.93,1.0,1.0,to
speech,223.25,224.3,1.0,1.0,like this from
speech,226.25,226.93,1.0,1.0,i'm looking for
speech,229.25,229.93,1.0,1.0,the droves
speech,236.25,237.3,1.0,1.0,rest of the talk
speech,238.57,238.93,1.0,1.0,good call
speech,240.25,240.93,1.0,1.0,to twenty
speech,272.25,272.93,1.0,1.0,the question
speech,280.25,282.3,1.0,1.0,publish what kind of creature has open
speech,284.25,285.3,1.0,1.0,pictures on the sheet
speech,286.25,286.93,1.0,1.0,creatures
speech,287.25,288.3,1.0,1.0,in different ways
speech,289.25,290.3,1.0,1.0,example
speech,297.25,298.3,1.0,1.0,another type of now
speech,302.25,303.3,1.0,1.0,in the shell to
speech,308.25,309.3,1.0,1.0,well as rough scratch
speech,315.25,315.93,1.0,1.0,these creatures
speech,326.25,327.3,1.0,1.0,the to identify
speech,357.25,358.3,1.0,1.0,though mice
speech,361.25,362.3,1.0,1.0,possible
speech,363.25,363.93,1.0,1.0,use the grid
speech,364.57,364.93,1.0,1.0,him
speech,373.57,373.93,1.0,1.0,no
speech,381.25,381.93,1.0,1.0,they do
speech,383.25,384.3,1.0,1.0,the match books
speech,385.57,385.93,1.0,1.0,since
speech,399.25,400.3,1.0,1.0,the shells to come
speech,400.57,400.93,1.0,1.0,i
speech,412.25,412.93,1.0,1.0,currency
