speech_recognition,start,end,max_confidence,mean_confidence
non-speech,1.25,1.61,0.7339686155319214,0.7339686155319214
non-speech,2.25,2.61,0.6619439721107483,0.6619438529014587
speech,4.25,6.3,0.9510266780853271,0.9108797311782837
speech,7.25,10.3,1.0,1.0
speech,10.89,11.3,0.6541825532913208,0.6541825532913208
speech,12.25,13.3,0.6974097490310669,0.6871923804283142
speech,22.25,24.3,0.9713431596755981,0.9576295614242554
non-speech,29.25,29.61,0.8134443163871765,0.8134442567825317
speech,30.25,33.3,0.9450135827064514,0.9310333728790283
non-speech,35.25,35.61,0.7316631078720093,0.7316629886627197
non-speech,36.25,36.61,0.6958085298538208,0.6958085298538208
non-speech,37.25,37.61,0.6028154492378235,0.6028155088424683
speech,39.25,41.3,0.9815519452095032,0.9504656791687012
speech,43.25,45.3,0.9908164739608765,0.9835612773895264
speech,49.25,51.61,0.981336772441864,0.9694137573242188
non-speech,58.25,58.61,0.7765173316001892,0.7765174508094788
non-speech,59.25,59.61,0.7130393385887146,0.7130393385887146
non-speech,60.25,60.61,0.6132789254188538,0.6132790446281433
non-speech,62.25,62.61,0.6867059469223022,0.6867060661315918
non-speech,63.25,64.61,0.8628646731376648,0.7957549095153809
speech,65.25,86.3,0.9886676669120789,0.9772153496742249
speech,89.25,96.3,0.9775133728981018,0.9610996246337891
speech,97.25,97.92999999999999,0.7104282975196838,0.7004580497741699
speech,98.25,103.3,1.0,1.0
speech,104.25,105.3,0.8265984654426575,0.7989692687988281
speech,110.25,116.3,0.9999713897705078,0.9998212456703186
speech,118.25,131.3,0.9984455704689026,0.9906975030899048
speech,133.25,144.3,0.9999985694885254,0.999941349029541
speech,146.25,147.3,0.7550109028816223,0.7062934041023254
speech,151.25,153.93,0.982208788394928,0.9630270600318909
speech,154.25,155.3,0.9998118281364441,0.9981918334960938
speech,156.25,157.3,1.0,1.0
speech,158.25,161.3,0.8318617939949036,0.8069660663604736
speech,164.25,166.3,1.0,0.9999988079071045
speech,168.25,174.3,0.919194757938385,0.8824279308319092
speech,175.25,184.3,0.896634578704834,0.8456845283508301
speech,185.25,186.3,0.9922614693641663,0.9791761636734009
speech,187.25,189.3,0.9964175224304199,0.9912117719650269
speech,190.25,192.3,0.9087561368942261,0.8422361016273499
speech,193.25,199.3,0.9945424795150757,0.9774797558784485
speech,200.25,202.3,1.0,1.0
speech,203.25,208.3,0.9886791110038757,0.9740985631942749
speech,208.89,213.3,0.6464048624038696,0.6464048027992249
non-speech,215.25,215.61,0.6379424929618835,0.6379426121711731
non-speech,215.89,216.3,0.6140871644020081,0.6140872836112976
speech,217.25,225.3,0.8822740912437439,0.8433399796485901
speech,226.25,228.61,1.0,1.0
